pt,location,year_report,year_birth,age,n_doses,value,age_current
NL,Newfoundland and Labrador,2022,2020,2,2,0.947,6
NL,Newfoundland and Labrador,2022,2018,4,2,0.926,8
PE,Prince Edward Island,2024,2017,7,2,0.915,9
PE,Prince Edward Island,2023,2016,7,2,0.893,10
PE,Prince Edward Island,2023,2015,8,2,0.922,11
PE,Prince Edward Island,2023,2014,9,2,0.941,12
PE,Prince Edward Island,2023,2013,10,2,0.93,13
PE,Prince Edward Island,2023,2012,11,2,0.927,14
PE,Prince Edward Island,2017,2009,8,2,0.958,17
NS,Nova Scotia,2017,2015,2,1+,0.871,11
NS,Nova Scotia,2021,2019,2,1+,0.936,7
QC,Quebec,2019,2017,2,2,0.919,9
QC,Quebec,2021,2019,2,2,0.886,7
QC,Quebec,2021,2015,6,2,0.88,11
QC,Quebec,2021,2014,7,2,0.88,12
QC,Quebec,2021,2013,8,2,0.88,13
QC,Quebec,2021,2012,9,2,0.88,14
QC,Quebec,2021,2011,10,2,0.88,15
QC,Quebec,2021,2010,11,2,0.88,16
QC,Quebec,2021,2009,12,2,0.92,17
QC,Quebec,2021,2008,13,2,0.92,18
QC,Quebec,2021,2007,14,2,0.92,19
QC,Quebec,2021,2006,15,2,0.92,20
QC,Quebec,2021,2005,16,2,0.92,21
ON,Ontario,2023,2018,5,2,0.377,8
ON,Ontario,2023,2017,6,2,0.45,9
ON,Ontario,2023,2016,7,2,0.7040000000000001,10
ON,Ontario,2023,2015,8,2,0.711,11
ON,Ontario,2023,2014,9,2,0.693,12
ON,Ontario,2023,2013,10,2,0.696,13
ON,Ontario,2023,2011,12,2,0.8909999999999999,15
ON,Ontario,2023,2010,13,2,0.905,16
ON,Ontario,2023,2009,14,2,0.915,17
ON,Ontario,2023,2008,15,2,0.909,18
ON,Ontario,2023,2007,16,2,0.909,19
ON,Ontario,2023,2006,17,2,0.916,20
MB,Manitoba,2023,2021,2,1,0.799,5
MB,Manitoba,2023,2016,7,2,0.654,10
MB,Manitoba,2023,2010,13,2,0.772,16
MB,Manitoba,2023,2006,17,2,0.773,20
AB,Alberta,2020,2007,13,1+,0.963,19
AB,Alberta,2021,2008,13,1+,0.9564,18
AB,Alberta,2022,2009,13,1+,0.9525,17
AB,Alberta,2023,2010,13,1+,0.9495,16
AB,Alberta,2014,1997,17,1+,0.9623,29
AB,Alberta,2015,1998,17,1+,0.9651,28
AB,Alberta,2016,1999,17,1+,0.9671,27
AB,Alberta,2017,2000,17,1+,0.9694000000000002,26
AB,Alberta,2018,2001,17,1+,0.9703,25
AB,Alberta,2019,2002,17,1+,0.9722,24
AB,Alberta,2020,2003,17,1+,0.9775,23
AB,Alberta,2021,2004,17,1+,0.9784000000000002,22
AB,Alberta,2022,2005,17,1+,0.9783000000000002,21
AB,Alberta,2023,2006,17,1+,0.9727,20
AB,Alberta,2014,2012,2,1,0.8805,14
AB,Alberta,2015,2013,2,1,0.8711000000000001,13
AB,Alberta,2016,2014,2,1,0.8729,12
AB,Alberta,2017,2015,2,1,0.8704999999999999,11
AB,Alberta,2018,2016,2,1,0.8673000000000001,10
AB,Alberta,2019,2017,2,1,0.8696,9
AB,Alberta,2020,2018,2,1,0.8665,8
AB,Alberta,2021,2019,2,1,0.8320000000000001,7
AB,Alberta,2022,2020,2,1+,0.8207,6
AB,Alberta,2023,2021,2,1+,0.8167,5
AB,Alberta,2018,2011,7,2,0.8108,15
BC,British Columbia,2013,2011,2,1,0.858,15
BC,British Columbia,2014,2012,2,1,0.85,14
BC,British Columbia,2015,2013,2,1,0.862,13
BC,British Columbia,2016,2014,2,1,0.872,12
BC,British Columbia,2017,2015,2,1,0.873,11
BC,British Columbia,2018,2016,2,1,0.872,10
BC,British Columbia,2019,2017,2,1,0.877,9
BC,British Columbia,2020,2018,2,1,0.858,8
BC,British Columbia,2021,2019,2,1,0.834,7
BC,British Columbia,2022,2020,2,1,0.825,6
BC,British Columbia,2023,2021,2,1,0.817,5
BC,British Columbia,2013,2006,7,2,0.909,20
BC,British Columbia,2014,2007,7,2,0.903,19
BC,British Columbia,2015,2008,7,2,0.902,18
BC,British Columbia,2016,2009,7,2,0.902,17
BC,British Columbia,2017,2010,7,2,0.884,16
NT,Northwest Territories,2023,2021,2,1+,0.85,5
NU,Nunavut,2017,2015,2,1+,0.887,11
ON,Ontario,2019,2012,7,2,0.861,14
ON,Ontario,2023,2016,7,2,0.7040000000000001,10
BC,British Columbia,2023,2005,18,1+,0.867,21
MB,Manitoba,2023,2005,18,1+,0.874,21
NB,New Brunswick,2023,2005,18,1+,0.858,21
NL,Newfoundland and Labrador,2023,2005,18,1+,0.897,21
NS,Nova Scotia,2023,2005,18,1+,0.887,21
NT,Northwest Territories,2023,2005,18,1+,0.864,21
NU,Nunavut,2023,2005,18,1+,0.68,21
ON,Ontario,2023,2005,18,1+,0.874,21
PE,Prince Edward Island,2023,2005,18,1+,0.899,21
SK,Saskatchewan,2023,2005,18,1+,0.898,21
YT,Yukon,2023,2005,18,1+,0.853,21
